timestamp,time_offset,current
2025-07-25T20:22:41.79809+02:00,0.000000,0.011060
2025-07-25T20:22:41.79909+02:00,0.001000,0.011540
2025-07-25T20:22:41.80009+02:00,0.002000,0.011728
2025-07-25T20:22:41.80109+02:00,0.003000,0.012005
2025-07-25T20:22:41.80209+02:00,0.004000,0.012152
2025-07-25T20:22:41.80309+02:00,0.005000,0.012268
2025-07-25T20:22:41.80409+02:00,0.006000,0.012274
2025-07-25T20:22:41.80509+02:00,0.007000,0.012261
2025-07-25T20:22:41.80609+02:00,0.008000,0.012116
2025-07-25T20:22:41.80709+02:00,0.009000,0.012077
2025-07-25T20:22:41.80809+02:00,0.010000,0.012023
2025-07-25T20:22:41.80909+02:00,0.011000,0.012009
2025-07-25T20:22:41.81009+02:00,0.012000,0.011963
2025-07-25T20:22:41.81109+02:00,0.013000,0.011911
2025-07-25T20:22:41.81209+02:00,0.014000,0.011979
2025-07-25T20:22:41.81309+02:00,0.015000,0.012230
2025-07-25T20:22:41.81409+02:00,0.016000,0.012340
2025-07-25T20:22:41.81509+02:00,0.017000,0.012394
2025-07-25T20:22:41.81609+02:00,0.018000,0.012488
2025-07-25T20:22:41.81709+02:00,0.019000,0.012451
2025-07-25T20:22:41.81809+02:00,0.020000,0.012607
2025-07-25T20:22:41.81909+02:00,0.021000,0.012602
2025-07-25T20:22:41.82009+02:00,0.022000,0.012507
2025-07-25T20:22:41.82109+02:00,0.023000,0.012465
2025-07-25T20:22:41.82209+02:00,0.024000,0.012541
2025-07-25T20:22:41.82309+02:00,0.025000,0.012277
2025-07-25T20:22:41.82409+02:00,0.026000,0.012172
2025-07-25T20:22:41.82509+02:00,0.027000,0.011864
2025-07-25T20:22:41.82609+02:00,0.028000,0.011902
2025-07-25T20:22:41.82709+02:00,0.029000,0.011661
2025-07-25T20:22:41.82809+02:00,0.030000,0.011732
2025-07-25T20:22:41.82909+02:00,0.031000,0.011789
2025-07-25T20:22:41.83009+02:00,0.032000,0.011708
2025-07-25T20:22:41.83109+02:00,0.033000,0.011996
2025-07-25T20:22:41.83209+02:00,0.034000,0.012154
2025-07-25T20:22:41.83309+02:00,0.035000,0.012323
2025-07-25T20:22:41.83409+02:00,0.036000,0.012360
2025-07-25T20:22:41.83509+02:00,0.037000,0.012704
2025-07-25T20:22:41.83609+02:00,0.038000,0.012713
2025-07-25T20:22:41.83709+02:00,0.039000,0.012900
2025-07-25T20:22:41.83809+02:00,0.040000,0.013057
2025-07-25T20:22:41.83909+02:00,0.041000,0.012797
2025-07-25T20:22:41.84009+02:00,0.042000,0.012879
2025-07-25T20:22:41.84109+02:00,0.043000,0.012698
2025-07-25T20:22:41.84209+02:00,0.044000,0.012550
2025-07-25T20:22:41.84309+02:00,0.045000,0.012226
2025-07-25T20:22:41.84409+02:00,0.046000,0.011876
2025-07-25T20:22:41.84509+02:00,0.047000,0.011573
2025-07-25T20:22:41.84609+02:00,0.048000,0.011108
2025-07-25T20:22:41.84709+02:00,0.049000,0.010724
2025-07-25T20:22:41.84809+02:00,0.050000,0.010452
2025-07-25T20:22:41.84909+02:00,0.051000,0.010013
2025-07-25T20:22:41.85009+02:00,0.052000,0.009533
2025-07-25T20:22:41.85109+02:00,0.053000,0.009230
2025-07-25T20:22:41.85209+02:00,0.054000,0.009106
2025-07-25T20:22:41.85309+02:00,0.055000,0.008869
2025-07-25T20:22:41.85409+02:00,0.056000,0.008722
2025-07-25T20:22:41.85509+02:00,0.057000,0.008426
2025-07-25T20:22:41.85609+02:00,0.058000,0.008463
2025-07-25T20:22:41.85709+02:00,0.059000,0.008178
2025-07-25T20:22:41.85809+02:00,0.060000,0.007994
2025-07-25T20:22:41.85909+02:00,0.061000,0.007844
2025-07-25T20:22:41.86009+02:00,0.062000,0.007584
2025-07-25T20:22:41.86109+02:00,0.063000,0.007292
2025-07-25T20:22:41.86209+02:00,0.064000,0.007014
2025-07-25T20:22:41.86309+02:00,0.065000,0.006952
2025-07-25T20:22:41.86409+02:00,0.066000,0.006560
2025-07-25T20:22:41.86509+02:00,0.067000,0.006430
2025-07-25T20:22:41.86609+02:00,0.068000,0.006266
2025-07-25T20:22:41.86709+02:00,0.069000,0.006168
2025-07-25T20:22:41.86809+02:00,0.070000,0.006021
2025-07-25T20:22:41.86909+02:00,0.071000,0.006084
2025-07-25T20:22:41.87009+02:00,0.072000,0.006167
2025-07-25T20:22:41.87109+02:00,0.073000,0.006193
2025-07-25T20:22:41.87209+02:00,0.074000,0.006555
2025-07-25T20:22:41.87309+02:00,0.075000,0.006747
2025-07-25T20:22:41.87409+02:00,0.076000,0.007208
